accuracy,filter_size,leaky_relu,learning_rate,n_filters,p_dropout,search_type,stride,weight_decay
0.3254,3.0,1.0,1e-05,16.0,0.25,grid,1.0,1e-05
0.3254,3.0,1.0,1e-05,16.0,0.25,grid,1.0,0.001
0.1262,3.0,1.0,1e-05,16.0,0.25,grid,3.0,1e-05
0.1262,3.0,1.0,1e-05,16.0,0.25,grid,3.0,0.001
0.3301,3.0,1.0,1e-05,16.0,0.0,grid,1.0,1e-05
0.3301,3.0,1.0,1e-05,16.0,0.0,grid,1.0,0.001
0.1311,3.0,1.0,1e-05,16.0,0.0,grid,3.0,1e-05
0.1311,3.0,1.0,1e-05,16.0,0.0,grid,3.0,0.001
0.3822,3.0,1.0,1e-05,64.0,0.5,grid,1.0,1e-05
0.3822,3.0,1.0,1e-05,64.0,0.5,grid,1.0,0.001
0.2452,3.0,1.0,1e-05,64.0,0.5,grid,3.0,1e-05
0.2452,3.0,1.0,1e-05,64.0,0.5,grid,3.0,0.001
0.3854,3.0,1.0,1e-05,64.0,0.25,grid,1.0,1e-05
0.3854,3.0,1.0,1e-05,64.0,0.25,grid,1.0,0.001
0.2465,3.0,1.0,1e-05,64.0,0.25,grid,3.0,1e-05
0.2465,3.0,1.0,1e-05,64.0,0.25,grid,3.0,0.001
0.3877,3.0,1.0,1e-05,64.0,0.0,grid,1.0,1e-05
0.3877,3.0,1.0,1e-05,64.0,0.0,grid,1.0,0.001
0.2484,3.0,1.0,1e-05,64.0,0.0,grid,3.0,1e-05
0.2484,3.0,1.0,1e-05,64.0,0.0,grid,3.0,0.001
0.4121,3.0,1.0,1e-05,128.0,0.5,grid,1.0,1e-05
0.4121,3.0,1.0,1e-05,128.0,0.5,grid,1.0,0.001
0.2685,3.0,1.0,1e-05,128.0,0.5,grid,3.0,1e-05
0.2685,3.0,1.0,1e-05,128.0,0.5,grid,3.0,0.001
0.4154,3.0,1.0,1e-05,128.0,0.25,grid,1.0,1e-05
0.4154,3.0,1.0,1e-05,128.0,0.25,grid,1.0,0.001
0.2736,3.0,1.0,1e-05,128.0,0.25,grid,3.0,1e-05
0.2736,3.0,1.0,1e-05,128.0,0.25,grid,3.0,0.001
0.4185,3.0,1.0,1e-05,128.0,0.0,grid,1.0,1e-05
0.4185,3.0,1.0,1e-05,128.0,0.0,grid,1.0,0.001
0.2766,3.0,1.0,1e-05,128.0,0.0,grid,3.0,1e-05
0.2766,3.0,1.0,1e-05,128.0,0.0,grid,3.0,0.001
0.406,3.0,1.0,0.0001,16.0,0.5,grid,1.0,1e-05
0.4087,3.0,1.0,0.0001,16.0,0.5,grid,1.0,0.001
0.2473,3.0,1.0,0.0001,16.0,0.5,grid,3.0,1e-05
0.2464,3.0,1.0,0.0001,16.0,0.5,grid,3.0,0.001
0.4099,3.0,1.0,0.0001,16.0,0.25,grid,1.0,1e-05
0.4107,3.0,1.0,0.0001,16.0,0.25,grid,1.0,0.001
0.2568,3.0,1.0,0.0001,16.0,0.25,grid,3.0,1e-05
0.2572,3.0,1.0,0.0001,16.0,0.25,grid,3.0,0.001
0.4101,3.0,1.0,0.0001,16.0,0.0,grid,1.0,1e-05
0.4099,3.0,1.0,0.0001,16.0,0.0,grid,1.0,0.001
0.2784,3.0,1.0,0.0001,16.0,0.0,grid,3.0,1e-05
0.275,3.0,1.0,0.0001,16.0,0.0,grid,3.0,0.001
0.4843,3.0,1.0,0.0001,64.0,0.5,grid,1.0,1e-05
0.4823,3.0,1.0,0.0001,64.0,0.5,grid,1.0,0.001
0.361,3.0,1.0,0.0001,64.0,0.5,grid,3.0,1e-05
0.3599,3.0,1.0,0.0001,64.0,0.5,grid,3.0,0.001
